date,lat,lon,rainfall_mm
2023-11-15,27.00,92.25,0.00
2023-11-15,27.00,92.50,0.00
2023-11-15,27.00,92.75,0.00
2023-11-15,27.00,93.00,0.00
2023-11-15,27.25,91.50,
2023-11-15,27.25,91.75,
2023-11-15,27.25,92.00,0.00
2023-11-15,27.25,92.25,0.00
2023-11-15,27.25,92.50,0.00
2023-11-15,27.25,92.75,0.00
2023-11-15,27.25,93.00,0.00
2023-11-15,27.50,91.50,
2023-11-15,27.50,91.75,0.00
2023-11-15,27.50,92.00,0.00
2023-11-15,27.50,92.25,0.00
2023-11-15,27.50,92.50,0.00
2023-11-15,27.50,92.75,0.00
2023-11-15,27.50,93.00,0.00
2023-11-15,27.75,91.50,0.00
2023-11-15,27.75,91.75,0.00
2023-11-15,27.75,92.00,0.00
2023-11-15,27.75,92.25,0.00
2023-11-15,27.75,92.50,0.00
2023-11-15,27.75,92.75,0.00
2023-11-15,27.75,93.00,0.00
2023-11-15,28.00,91.50,0.00
2023-11-15,28.00,91.75,0.00
2023-11-15,28.00,92.00,0.00
2023-11-15,28.00,92.25,0.00
2023-11-15,28.00,92.50,0.00
2023-11-15,28.00,92.75,0.00
2023-11-15,28.00,93.00,0.00
2023-11-16,25.75,91.50,0.00
2023-11-16,25.75,91.75,0.00
2023-11-16,25.75,92.00,0.00
2023-11-16,25.75,92.25,0.00
2023-11-16,25.75,92.50,0.00
2023-11-16,25.75,92.75,0.00
2023-11-16,25.75,93.00,0.00
2023-11-16,26.00,91.50,0.00
2023-11-16,26.00,91.75,0.00
2023-11-16,26.00,92.00,0.00
2023-11-16,26.00,92.25,0.00
2023-11-16,26.00,92.50,0.00
2023-11-16,26.00,92.75,0.00
2023-11-16,26.00,93.00,0.00
2023-11-16,26.25,91.50,0.00
2023-11-16,26.25,91.75,0.00
2023-11-16,26.25,92.00,0.00
2023-11-16,26.25,92.25,0.00
2023-11-16,26.25,92.50,0.00
2023-11-16,26.25,92.75,0.00
2023-11-16,26.25,93.00,0.00
2023-11-16,26.50,91.50,0.00
2023-11-16,26.50,91.75,0.00
2023-11-16,26.50,92.00,0.00
2023-11-16,26.50,92.25,0.00
2023-11-16,26.50,92.50,0.00
2023-11-16,26.50,92.75,0.00
2023-11-16,26.50,93.00,0.00
2023-11-16,26.75,91.50,0.00
2023-11-16,26.75,91.75,0.00
2023-11-16,26.75,92.00,0.00
2023-11-16,26.75,92.25,0.00
2023-11-16,26.75,92.50,0.00
2023-11-16,26.75,92.75,0.00
2023-11-16,26.75,93.00,0.00
2023-11-16,27.00,91.50,0.00
2023-11-16,27.00,91.75,0.00
2023-11-16,27.00,92.00,0.00
2023-11-16,27.00,92.25,0.00
2023-11-16,27.00,92.50,0.00
2023-11-16,27.00,92.75,0.00
2023-11-16,27.00,93.00,0.00
2023-11-16,27.25,91.50,
2023-11-16,27.25,91.75,
2023-11-16,27.25,92.00,0.00
2023-11-16,27.25,92.25,0.00
2023-11-16,27.25,92.50,0.00
2023-11-16,27.25,92.75,0.00
2023-11-16,27.25,93.00,0.00
2023-11-16,27.50,91.50,
2023-11-16,27.50,91.75,0.00
2023-11-16,27.50,92.00,0.00
2023-11-16,27.50,92.25,0.00
2023-11-16,27.50,92.50,0.00
2023-11-16,27.50,92.75,0.00
2023-11-16,27.50,93.00,0.00
2023-11-16,27.75,91.50,0.00
2023-11-16,27.75,91.75,0.00
2023-11-16,27.75,92.00,0.00
2023-11-16,27.75,92.25,0.00
2023-11-16,27.75,92.50,0.00
2023-11-16,27.75,92.75,0.00
2023-11-16,27.75,93.00,0.00
2023-11-16,28.00,91.50,0.00
2023-11-16,28.00,91.75,0.00
2023-11-16,28.00,92.00,0.00
2023-11-16,28.00,92.25,0.00
2023-11-16,28.00,92.50,0.00
2023-11-16,28.00,92.75,0.00
2023-11-16,28.00,93.00,0.00
2023-11-17,25.75,91.50,4.29
2023-11-17,25.75,91.75,4.49
2023-11-17,25.75,92.00,1.34
2023-11-17,25.75,92.25,0.65
2023-11-17,25.75,92.50,0.47
2023-11-17,25.75,92.75,2.60
2023-11-17,25.75,93.00,5.35
2023-11-17,26.00,91.50,0.23
2023-11-17,26.00,91.75,2.43
2023-11-17,26.00,92.00,0.98
2023-11-17,26.00,92.25,0.14
2023-11-17,26.00,92.50,0.40
2023-11-17,26.00,92.75,2.68
2023-11-17,26.00,93.00,5.19
2023-11-17,26.25,91.50,0.00
2023-11-17,26.25,91.75,0.83
2023-11-17,26.25,92.00,0.44
2023-11-17,26.25,92.25,0.65
2023-11-17,26.25,92.50,0.62
2023-11-17,26.25,92.75,1.10
2023-11-17,26.25,93.00,7.99
2023-11-17,26.50,91.50,0.00
2023-11-17,26.50,91.75,0.06
2023-11-17,26.50,92.00,0.10
2023-11-17,26.50,92.25,0.19
2023-11-17,26.50,92.50,0.30
2023-11-17,26.50,92.75,0.36
2023-11-17,26.50,93.00,3.60
2023-11-17,26.75,91.50,0.00
2023-11-17,26.75,91.75,0.00
2023-11-17,26.75,92.00,0.00
2023-11-17,26.75,92.25,0.20
2023-11-17,26.75,92.50,0.30
2023-11-17,26.75,92.75,0.27
2023-11-17,26.75,93.00,0.00
2023-11-17,27.00,91.50,0.00
2023-11-17,27.00,91.75,0.00
2023-11-17,27.00,92.00,0.00
2023-11-17,27.00,92.25,0.00
2023-11-17,27.00,92.50,0.05
2023-11-17,27.00,92.75,0.00
2023-11-17,27.00,93.00,0.00
2023-11-17,27.25,91.50,
2023-11-17,27.25,91.75,
2023-11-17,27.25,92.00,0.00
2023-11-17,27.25,92.25,0.00
2023-11-17,27.25,92.50,0.00
2023-11-17,27.25,92.75,0.00
2023-11-17,27.25,93.00,0.00
2023-11-17,27.50,91.50,
2023-11-17,27.50,91.75,0.00
2023-11-17,27.50,92.00,0.00
2023-11-17,27.50,92.25,0.00
2023-11-17,27.50,92.50,0.00
2023-11-17,27.50,92.75,0.00
2023-11-17,27.50,93.00,0.00
2023-11-17,27.75,91.50,0.00
2023-11-17,27.75,91.75,0.00
2023-11-17,27.75,92.00,0.00
2023-11-17,27.75,92.25,0.00
2023-11-17,27.75,92.50,0.00
2023-11-17,27.75,92.75,0.00
2023-11-17,27.75,93.00,0.00
2023-11-17,28.00,91.50,0.00
2023-11-17,28.00,91.75,0.00
2023-11-17,28.00,92.00,0.00
2023-11-17,28.00,92.25,0.00
2023-11-17,28.00,92.50,0.00
2023-11-17,28.00,92.75,0.00
2023-11-17,28.00,93.00,0.00
2023-11-18,25.75,91.50,9.14
2023-11-18,25.75,91.75,13.64
2023-11-18,25.75,92.00,12.75
2023-11-18,25.75,92.25,21.43
2023-11-18,25.75,92.50,28.06
2023-11-18,25.75,92.75,34.77
2023-11-18,25.75,93.00,28.25
2023-11-18,26.00,91.50,0.65
2023-11-18,26.00,91.75,5.44
2023-11-18,26.00,92.00,3.11
2023-11-18,26.00,92.25,3.73
2023-11-18,26.00,92.50,16.77
2023-11-18,26.00,92.75,28.60
2023-11-18,26.00,93.00,26.47
2023-11-18,26.25,91.50,0.47
2023-11-18,26.25,91.75,2.05
2023-11-18,26.25,92.00,1.26
2023-11-18,26.25,92.25,4.60
2023-11-18,26.25,92.50,4.17
2023-11-18,26.25,92.75,10.24
2023-11-18,26.25,93.00,23.75
2023-11-18,26.50,91.50,0.00
2023-11-18,26.50,91.75,0.24
2023-11-18,26.50,92.00,0.35
2023-11-18,26.50,92.25,2.79
2023-11-18,26.50,92.50,0.67
2023-11-18,26.50,92.75,1.45
2023-11-18,26.50,93.00,13.71
2023-11-18,26.75,91.50,0.00
2023-11-18,26.75,91.75,0.00
2023-11-18,26.75,92.00,0.00
2023-11-18,26.75,92.25,0.15
2023-11-18,26.75,92.50,0.22
2023-11-18,26.75,92.75,0.76
2023-11-18,26.75,93.00,6.47
2023-11-18,27.00,91.50,0.00
2023-11-18,27.00,91.75,0.00
2023-11-18,27.00,92.00,0.00
2023-11-18,27.00,92.25,0.00
2023-11-18,27.00,92.50,0.04
2023-11-18,27.00,92.75,2.17
2023-11-18,27.00,93.00,6.28
2023-11-18,27.25,91.50,
2023-11-18,27.25,91.75,
2023-11-18,27.25,92.00,0.00
2023-11-18,27.25,92.25,0.00
2023-11-18,27.25,92.50,0.00
2023-11-18,27.25,92.75,0.27
2023-11-18,27.25,93.00,3.95
2023-11-18,27.50,91.50,
2023-11-18,27.50,91.75,0.00
2023-11-18,27.50,92.00,0.00
2023-11-18,27.50,92.25,0.00
2023-11-18,27.50,92.50,0.12
2023-11-18,27.50,92.75,0.77
2023-11-18,27.50,93.00,3.09
2023-11-18,27.75,91.50,0.00
2023-11-18,27.75,91.75,0.00
2023-11-18,27.75,92.00,0.00
2023-11-18,27.75,92.25,0.00
2023-11-18,27.75,92.50,0.17
2023-11-18,27.75,92.75,2.18
2023-11-18,27.75,93.00,4.09
2023-11-18,28.00,91.50,0.00
2023-11-18,28.00,91.75,0.00
2023-11-18,28.00,92.00,0.00
2023-11-18,28.00,92.25,0.00
2023-11-18,28.00,92.50,0.30
2023-11-18,28.00,92.75,2.36
2023-11-18,28.00,93.00,4.39
2023-11-19,25.75,91.50,0.00
2023-11-19,25.75,91.75,0.00
2023-11-19,25.75,92.00,0.00
2023-11-19,25.75,92.25,0.00
2023-11-19,25.75,92.50,0.00
2023-11-19,25.75,92.75,0.00
2023-11-19,25.75,93.00,0.00
2023-11-19,26.00,91.50,0.00
2023-11-19,26.00,91.75,0.00
2023-11-19,26.00,92.00,0.00
2023-11-19,26.00,92.25,0.00
2023-11-19,26.00,92.50,0.00
2023-11-19,26.00,92.75,0.00
2023-11-19,26.00,93.00,0.00
2023-11-19,26.25,91.50,0.00
2023-11-19,26.25,91.75,0.00
2023-11-19,26.25,92.00,0.00
2023-11-19,26.25,92.25,0.00
2023-11-19,26.25,92.50,0.00
2023-11-19,26.25,92.75,0.00
2023-11-19,26.25,93.00,0.00
2023-11-19,26.50,91.50,0.00
2023-11-19,26.50,91.75,0.00
2023-11-19,26.50,92.00,0.00
2023-11-19,26.50,92.25,0.00
2023-11-19,26.50,92.50,0.00
2023-11-19,26.50,92.75,0.00
2023-11-19,26.50,93.00,0.00
2023-11-19,26.75,91.50,0.00
2023-11-19,26.75,91.75,0.00
2023-11-19,26.75,92.00,0.00
2023-11-19,26.75,92.25,0.00
2023-11-19,26.75,92.50,0.00
2023-11-19,26.75,92.75,0.00
2023-11-19,26.75,93.00,0.00
2023-11-19,27.00,91.50,0.00
2023-11-19,27.00,91.75,0.00
2023-11-19,27.00,92.00,0.00
2023-11-19,27.00,92.25,0.00
2023-11-19,27.00,92.50,0.00
2023-11-19,27.00,92.75,0.00
2023-11-19,27.00,93.00,0.00
2023-11-19,27.25,91.50,
2023-11-19,27.25,91.75,
2023-11-19,27.25,92.00,0.00
2023-11-19,27.25,92.25,0.00
2023-11-19,27.25,92.50,0.00
2023-11-19,27.25,92.75,0.00
2023-11-19,27.25,93.00,0.00
2023-11-19,27.50,91.50,
2023-11-19,27.50,91.75,0.00
2023-11-19,27.50,92.00,0.00
2023-11-19,27.50,92.25,0.00
2023-11-19,27.50,92.50,0.00
2023-11-19,27.50,92.75,0.00
2023-11-19,27.50,93.00,0.00
2023-11-19,27.75,91.50,0.00
2023-11-19,27.75,91.75,0.00
2023-11-19,27.75,92.00,0.00
2023-11-19,27.75,92.25,0.00
2023-11-19,27.75,92.50,0.00
2023-11-19,27.75,92.75,0.00
2023-11-19,27.75,93.00,0.00
2023-11-19,28.00,91.50,0.00
2023-11-19,28.00,91.75,0.00
2023-11-19,28.00,92.00,0.00
2023-11-19,28.00,92.25,0.00
2023-11-19,28.00,92.50,0.00
2023-11-19,28.00,92.75,0.00
2023-11-19,28.00,93.00,0.00
2023-11-20,25.75,91.50,0.00
2023-11-20,25.75,91.75,0.00
2023-11-20,25.75,92.00,0.00
2023-11-20,25.75,92.25,0.00
2023-11-20,25.75,92.50,0.00
2023-11-20,25.75,92.75,0.00
2023-11-20,25.75,93.00,0.00
2023-11-20,26.00,91.50,0.00
2023-11-20,26.00,91.75,0.00
2023-11-20,26.00,92.00,0.00
2023-11-20,26.00,92.25,0.00
2023-11-20,26.00,92.50,0.00
2023-11-20,26.00,92.75,0.00
2023-11-20,26.00,93.00,0.00
2023-11-20,26.25,91.50,0.00
2023-11-20,26.25,91.75,0.00
2023-11-20,26.25,92.00,0.00
2023-11-20,26.25,92.25,0.00
2023-11-20,26.25,92.50,0.00
2023-11-20,26.25,92.75,0.00
2023-11-20,26.25,93.00,0.00
2023-11-20,26.50,91.50,0.00
2023-11-20,26.50,91.75,0.00
2023-11-20,26.50,92.00,0.00
2023-11-20,26.50,92.25,0.00
2023-11-20,26.50,92.50,0.00
2023-11-20,26.50,92.75,0.00
2023-11-20,26.50,93.00,0.00
2023-11-20,26.75,91.50,0.00
2023-11-20,26.75,91.75,0.00
2023-11-20,26.75,92.00,0.00
2023-11-20,26.75,92.25,0.00
2023-11-20,26.75,92.50,0.00
2023-11-20,26.75,92.75,0.00
2023-11-20,26.75,93.00,0.00
2023-11-20,27.00,91.50,0.00
2023-11-20,27.00,91.75,0.00
2023-11-20,27.00,92.00,0.00
2023-11-20,27.00,92.25,0.00
2023-11-20,27.00,92.50,0.00
2023-11-20,27.00,92.75,0.00
2023-11-20,27.00,93.00,0.00
2023-11-20,27.25,91.50,
2023-11-20,27.25,91.75,
2023-11-20,27.25,92.00,0.00
2023-11-20,27.25,92.25,0.00
2023-11-20,27.25,92.50,0.00
2023-11-20,27.25,92.75,0.00
2023-11-20,27.25,93.00,0.00
2023-11-20,27.50,91.50,
2023-11-20,27.50,91.75,0.00
2023-11-20,27.50,92.00,0.00
2023-11-20,27.50,92.25,0.00
2023-11-20,27.50,92.50,0.00
2023-11-20,27.50,92.75,0.00
2023-11-20,27.50,93.00,0.00
2023-11-20,27.75,91.50,0.00
2023-11-20,27.75,91.75,0.00
2023-11-20,27.75,92.00,0.00
2023-11-20,27.75,92.25,0.00
2023-11-20,27.75,92.50,0.00
2023-11-20,27.75,92.75,0.00
2023-11-20,27.75,93.00,0.00
2023-11-20,28.00,91.50,0.00
2023-11-20,28.00,91.75,0.00
2023-11-20,28.00,92.00,0.00
2023-11-20,28.00,92.25,0.00
2023-11-20,28.00,92.50,0.00
2023-11-20,28.00,92.75,0.00
2023-11-20,28.00,93.00,0.00
2023-11-21,25.75,91.50,0.00
2023-11-21,25.75,91.75,0.00
2023-11-21,25.75,92.00,0.00
2023-11-21,25.75,92.25,0.00
2023-11-21,25.75,92.50,0.00
2023-11-21,25.75,92.75,0.00
2023-11-21,25.75,93.00,0.00
2023-11-21,26.00,91.50,0.00
2023-11-21,26.00,91.75,0.00
2023-11-21,26.00,92.00,0.00
2023-11-21,26.00,92.25,0.00
2023-11-21,26.00,92.50,0.00
2023-11-21,26.00,92.75,0.00
2023-11-21,26.00,93.00,0.00
2023-11-21,26.25,91.50,0.00
2023-11-21,26.25,91.75,0.00
2023-11-21,26.25,92.00,0.00
2023-11-21,26.25,92.25,0.00
2023-11-21,26.25,92.50,0.00
2023-11-21,26.25,92.75,0.00
2023-11-21,26.25,93.00,0.00
2023-11-21,26.50,91.50,0.00
2023-11-21,26.50,91.75,0.00
2023-11-21,26.50,92.00,0.00
2023-11-21,26.50,92.25,0.00
2023-11-21,26.50,92.50,0.00
2023-11-21,26.50,92.75,0.00
2023-11-21,26.50,93.00,0.00
2023-11-21,26.75,91.50,0.00
2023-11-21,26.75,91.75,0.00
2023-11-21,26.75,92.00,0.00
2023-11-21,26.75,92.25,0.00
2023-11-21,26.75,92.50,0.00
2023-11-21,26.75,92.75,0.00
2023-11-21,26.75,93.00,0.00
2023-11-21,27.00,91.50,0.00
2023-11-21,27.00,91.75,0.00
2023-11-21,27.00,92.00,0.00
