slide_no,slide_id,state,description_before_coordinates,latitude,longitude,description_after_coordinates,raw_record
1265,ARN/TWNG/78M14/2016/0025,Arunachal Pradesh,Tawang Q.M. Store slide,27.596639,91.878972,Debris Slide 23 April 2016,1265 ARN/TWNG/78M14/2016/0025 Arunachal Pradesh Tawang Q.M. Store slide  27.596639 91.878972 Debris Slide 23 April 2016
1266,ARN/TWG/78M14/2016/0026,Arunachal Pradesh,Tawang SSB Workshop (South) Locality,27.599,91.876528,Debris Slide 2016,1266 ARN/TWG/78M14/2016/0026 Arunachal Pradesh Tawang SSB Workshop (South) Locality 27.599 91.876528 Debris Slide 2016
1267,ARN/TWG/78M14/2016/0027,Arunachal Pradesh,Tawang SSB Workshop (North) Locality,27.599806,91.876111,Debris Slide 2016,1267 ARN/TWG/78M14/2016/0027 Arunachal Pradesh Tawang SSB Workshop (North) Locality 27.599806 91.876111 Debris Slide 2016
1433,AP/AW/91D8/2022/103,Arunachal Pradesh,Anjaw From Khupa/ KVK Anjaw 16.6 kms along NH-13 towards Tezu NH-13 (Anjaw-Tezu road),28.022471,96.440489,Debris Slide NA,1433 AP/AW/91D8/2022/103 Arunachal Pradesh Anjaw From Khupa/ KVK Anjaw 16.6 kms along NH-13 towards Tezu NH-13 (Anjaw-Tezu road) 28.022471 96.440489 Debris Slide NA
1435,AP/AW/91D8/2022/104,Arunachal Pradesh,Anjaw From Khupa/ KVK Anjaw 16.4 kms along NH-13 towards Tezu NH-13 (Anjaw-Tezu road),28.023491,96.440972,Debris Slide NA,1435 AP/AW/91D8/2022/104 Arunachal Pradesh Anjaw From Khupa/ KVK Anjaw 16.4 kms along NH-13 towards Tezu NH-13 (Anjaw-Tezu road) 28.023491 96.440972 Debris Slide NA
1438,,Arunachal Pradesh,"East Siang LS-46 NH-13, Komlighat-Pasighat",28.025611,95.271179,Debris Slide NA,"1438 AP/E-Siang/82P8/2022/LS46 Arunachal Pradesh East Siang LS-46 NH-13, Komlighat-Pasighat 28.025611 95.271179 Debris Slide NA"
1468,,Arunachal Pradesh,"East Siang LS-1, North west of Pasighat Lenging Village (NH-13)",28.093514,95.272526,Earth Slide NA,"1468 AP/E-Siang/82P8/2021/LS1 Arunachal Pradesh East Siang LS-1, North west of Pasighat Lenging Village (NH-13) 28.093514 95.272526 Earth Slide NA"
1469,,Arunachal Pradesh,"East Siang Rengging Slide NH-13, Rengging Slide",28.094144,95.282568,Earth Slide NA,"1469 AP/E-Siang/82P8/2022/LS47 Arunachal Pradesh East Siang Rengging Slide NH-13, Rengging Slide 28.094144 95.282568 Earth Slide NA"
1472,,Arunachal Pradesh,"East Siang Rengging Slide NH-13, towards Rengging village",28.095632,95.281371,Earth Slide NA,"1472 AP/E-Siang/82P8/2022/LS48 Arunachal Pradesh East Siang Rengging Slide NH-13, towards Rengging village 28.095632 95.281371 Earth Slide NA"
1473,,Arunachal Pradesh,East Siang Legging Slide Towards Legging Village (NH-13),28.097043,95.274751,Debris Slide NA,1473 AP/E-Siang/82P8/2021/LS2 Arunachal Pradesh East Siang Legging Slide Towards Legging Village (NH-13) 28.097043 95.274751 Debris Slide NA
1475,,Arunachal Pradesh,"East Siang Rengging Slide NH-13, Rengging Slide",28.097285,95.28003,Debris Slide NA,"1475 AP/E-Siang/82P8/2022/LS49 Arunachal Pradesh East Siang Rengging Slide NH-13, Rengging Slide 28.097285 95.28003 Debris Slide NA"
1477,,Arunachal Pradesh,East Siang LS-6 NH-13,28.099647,95.28567,Debris Slide NA,1477 AP/E-Siang/82P8/2021/LS6 Arunachal Pradesh East Siang LS-6 NH-13 28.099647 95.28567 Debris Slide NA
1479,,Arunachal Pradesh,East Siang LS-7 NH-13,28.099705,95.284891,Debris Slide NA,1479 AP/E-Siang/82P8/2021/LS7 Arunachal Pradesh East Siang LS-7 NH-13 28.099705 95.284891 Debris Slide NA
